SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
B,B,52012.37321,8,HLA/M/MAL,B,74862.69223,7,"F/HLA/MAL,M",B,54855.79135,5,F/HLA/M/MAL
BN,BN,133477.8885,12,B/HLA/Ñ,BN,87270.91608,6,BN/HLA/M/MAL,BN,125021.0299,9,B/HLA/MAL/Ñ
C,MAL,62793.65893,6,M/C/O/Ñ,C,60056.21401,8,M/MAL/O/Ñ,C,86125.60335,9,M/MAL/O/Ñ
CME,CME,412432.4745,13,-,CME,309787.6661,12,B,CME,409472.1823,13,-
D,D,189636.5519,13,-,D,136291.8414,13,-,D,157563.8143,13,-
E,E,162868.3544,12,O,E,131930.7625,13,A,E,35518.95263,13,-
F,F,121607.9701,13,-,F,122974.9396,13,-,F,126567.7622,13,-
G,G,108635.0125,12,YO,G,92790.02189,12,"L,YO",G,127742.6606,13,-
GRA,GRA,271263.1958,13,-,GRA,214282.2911,13,-,GRA,316012.3034,13,-
H,H,122555.0467,13,I,H,111329.7409,12,G,H,123571.1112,10,K/U/Ñ
HLA,HLA,50999.21613,7,B/M/MAL,MAL,52245.99829,6,B/HLA/M,HLA,49037.70924,7,C/MAL/M/B
I,I,117403.64,10,J/SI,I,87998.46305,8,SI/J,I,103388.8653,10,SI/J
J,J,69299.88149,7,PDN/I,J,52398.62051,6,I/PDN,I,135830.7418,9,J
K,K,107811.992,8,P,K,92392.70462,7,P,K,97799.70755,8,P
L,L,150896.5356,13,#NAME?,L,130215.7807,13,-,L,151471.9648,13,-
M,MAL,50337.03989,7,M/N,B,44692.49178,7,BN/HLA/M/MAL,M,48676.55005,6,B/BN/O/N
MAL,MAL,82754.80955,13,-,MAL,82019.34218,13,-,MAL,124352.1524,13,-
N,N,80886.6169,8,NO/R/M/Ñ,N,87286.95083,9,NO/R/M/Ñ,N,99592.58006,11,NO/R/M/Ñ
NO,NO,240086.3997,13,-,NO,185230.6929,11,N/R/U,NO,150650.3216,9,N
O,O,133450.0369,12,C,O,94752.5901,13,C,O,18863.19364,13,-
P,K,92990.27648,8,P,P,84471.6816,7,D/K/R,P,104117.4477,7,K
PDN,J,79696.14913,5,PDN/I,I,89254.25547,7,J/PDN/SI,J,17685.00022,6,I/PDN
Q,MAL,45291.1077,4,G/L/P/Q/TU/X/YO/Z,X,81874.91741,8,D/TU/YO/Z,TU,41458.63973,4,D/Q/TU/YO/Z
R,R,125211.9361,12,U,R,74585.35417,8,U,R,106497.593,10,U
S,S,135289.5003,13,T,S,148797.8321,11,E/T,S,168453.3002,13,E
SI,SI,133810.774,13,-,SI,134727.2144,13,-,SI,126506.6123,13,-
T,T,76550.24329,7,SI/S,T,81175.17093,9,A/S,T,106843.497,9,S
TU,TU,71565.63731,6,D/L/Q,N,90671.27878,8,E/NO/TU/Z,T,62672.3136,3,B/CME/E/K/NO/TU/U/X
U,R,74126.0354,7,U/V,U,75424.0611,8,R/V,U,105157.5738,11,R
V,V,138383.2808,13,-,V,108308.9193,13,-,V,156398.0463,13,-
W,W,156538.0419,13,-,W,134232.296,13,-,M,71970.94106,4,B/GRA/H/M/N/U/V
X,X,63226.34961,6,Q/TU,TU,67820.5727,7,Q/X/YO,TU,87653.35428,10,D/Q/X
Y,Y,78571.42717,7,PDN,Y,23081.52606,7,PDN,Y,274487.9851,8,A/CME/PDN
YO,YO,90311.23807,12,G,YO,101231.9877,13,G,YO,129785.5387,13,G
Z,Z,89990.5469,8,D/I/K/R,Z,90127.59104,6,D/L,L,75187.53997,4,D/K/Q/R/T/TU/X
Ñ,U,131625.4458,11,Ñ,U,100887.7834,11,Ñ,U,136613.7159,12,Ñ
A,A,73260.323,8,C/S/T,A,69758.101,7,C/S/T,A,79410.343,8,E/S/T
B,B,86668.201,13,-,B,95162.925,13,-,B,87855.873,13,-
BN,BN,42848.897,4,B/F/M/MAL/O/V,BN,75838.741,11,B/MAL,BN,81009.368,11,B/MAL
C,C,95691.419,12,M,C,99741.257,12,M,C,94709.755,12,M
CME,CME,373233.038,12,O,CME,353108.924,12,O,CME,399643.668,12,O
D,D,134923.637,13,-,D,125264.623,11,O,D,139079.599,12,Z
E,E,74507.909,6,C/O/S,E,49438.448,4,O/S/SI,O,73645.085,6,C/E/S/SI
F,F,11651.344,13,-,F,1094.304,13,-,F,115201.12,13,-
G,G,90270.411,9,X/YO,G,91107.633,8,X/YO,G,89753.99,9,YO
GRA,GRA,202862.1,13,-,GRA,185015.883,13,-,GRA,200710.692,13,-
H,H,70125.365,7,K/U/Ñ,H,76006.076,8,K/N/Ñ,H,76444.163,8,K/N/Ñ
HLA,HLA,81055.063,10,B,HLA,75834.514,10,B,H,71596.349,9,B
I,I,91270.968,9,H/J/SI,I,89846.037,10,H/J/SI,I,55637.938,7,J/SI
J,J,74135.039,8,H/I,J,61227.376,8,H/I,J,61549.518,8,I/SI
K,K,69698.226,7,P,P,61810.131,6,P,P,70196.242,7,K
L,L,85451.059,8,D/G,L,94347.925,9,D/G,L,98027.081,8,D/G
M,M,35837.967,3,B/BN/C/F/MAL/O/U,M,57424.006,7,N/O/Ñ,M,57949.915,7,HLA/O/Ñ
MAL,MAL,74484.297,11,B/M,BN,27878.246,3,B/C/F/GRA/M/MAL,MAL,79175.396,11,B/MAL
N,U,52271.295,5,R/U/Ñ,U,37099.305,4,U/R/Ñ,U,53841.4,6,R/U/Ñ
NO,NO,23787.147,2,A/D/E/F/M/N/OU,N,42771.171,5,M/NO/O/X,NO,59011.528,6,M/NO
O,O,20558.496,2,A/B/BN/GRA/M/MAL/T/U,O,77058.13,12,C/S/T,O,91861.443,13,-
P,P,92931.93,9,K,P,82434.427,9,K,P,93256.054,9,K
PDN,PDN,107077.332,7,Y,PDN,91879.876,7,Y,PDN,107089.633,8,J/Y
Q,D,54307.781,3,K/L/P/Q/TU/X/YO/Z,Q,130929.7,11,TU/X,Q,137150.25,10,TU/X
R,R,83125.867,9,U,R,74697.674,9,U,Q,137150.25,10,TU/X
S,S,27283.688,4,A/SI/T,E,42807.233,5,A/S/SI,S,16204.521,4,A/E/SI/T
SI,SI,68384.298,8,H/I/J,I,82819.492,8,H/I/J,SI,67119.356,8,H/I/J
T,A,83667.102,5,E/NO/O/T/TU,T,6446.442,6,A/S/SI,T,85446.378,7,A/S/SI
TU,TU,52692.572,4,N/R/U/X/Z,TU,61913.253,5,N/R/U/X/,TU,40801.466,3,N/NO/R/U/V/X/Z
U,U,119670.984,11,R/Ñ,U,97169.859,11,R,U,122722.666,12,R
V,V,149880.593,13,-,V,134990.252,13,-,V,147219.027,13,-
W,W,121050.139,13,-,W,119875.74,13,-,W,125064.952,13,-
X,YO,56143.762,5,G/O/TU/X,X,40681.516,3,G/P/Q/TU/YO/Z,X,21725.346,6,G/Q/TU/YO
Y,Y,104518.627,8,PDN,Y,87548.649,8,PDN,Y,77305.532,7,PDN
YO,YO,166322.628,12,TU,YO,137220.826,12,TU,YO,177318.254,13,-
Z,Z,97588.035,7,D/I/K/R,Z,69043.545,5,D/I/K/NO/R/TU/YO,Z,103009.492,7,D/I/K/L/R
Ñ,U,48425.592,5,N/NO/R/Ñ,N,56923.408,7,M/NO/R/Ñ,Ñ,39484.234,7,N/NO/R/U
