SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
S,0,60578.503,4,5,1,101264.448,12,0,1,160310.835,12,0
SI,0,70316.573,6,1,0,75437.181,7,1,0,82106.748,7,1
T,1,81452.333,7,0,1,104328.099,10,0,1,142396.302,9,0
TU,1,95662.291,7,5,0,54981.342,4,3,1,155942.983,9,3
U,1,119774.922,13,0,1,104772.978,13,0,1,129620.123,13,0
V,1,13108.323,13,0,1,86328.556,9,0,1,144452.399,11,0
W,1,102877.497,13,0,1,81564.823,13,0,1,142472.254,12,0
X,0,53468.254,4,3,0,65184.133,5,4,0,90075.864,6,3
Y,1,80159.345,7,0,1,77320.482,7,0,1,131822.433,7,1
YO,1,97364.403,11,0,1,130788.451,13,0,1,150049.873,12,0
Z,1,62245.308,5,4,1,34776.292,3,7,1,68171.729,4,4
Ñ,0,74611.935,6,2,0,43157.125,5,2,0,121359.729,7,2
A,1,121468.2075,10,2,1,101640.1799,9,1,1,96765.05204,9,1
B,1,53115.07721,7,1,0,67748.49749,7,1,1,67062.76932,6,3
BN,1,139313.81,10,2,1,88779.50797,6,3,1,111802.6414,10,2
C,0,62879.07308,6,2,1,50758.82235,8,3,1,74538.97007,8,3
CME,1,425154.8645,13,0,1,289305.1728,12,0,1,398573.0702,13,0
D,1,175317.4414,13,0,1,122097.9192,13,0,1,151554.6255,13,0
E,1,167369.3586,13,0,1,153094.3919,12,0,1,32620.59733,13,0
F,1,112547.4423,13,0,1,118092.7073,13,0,1,141023.9467,13,0
G,1,109265.9029,12,0,1,84041.8139,11,0,1,127184.2684,13,0
GRA,1,273527.6338,13,0,1,198723.6635,13,0,1,324678.9948,13,0
H,1,137142.3409,12,0,1,117365.8587,13,0,1,116379.196,9,2
HLA,1,63153.83825,7,2,0,63642.93623,6,1,1,57596.85791,6,3
I,1,102900.87,10,1,1,90445.54676,8,1,1,102206.01,10,1
J,1,68679.61219,6,0,1,70793.29107,5,1,0,134342.6401,8,0
K,1,104961.5156,7,0,1,96353.95109,7,0,1,97648.19828,7,0
L,1,157826.8573,13,0,1,112903.8518,13,0,1,156689.1306,13,0
M,0,52202.98801,7,1,0,49752.95301,7,2,1,49752.59904,5,3
MAL,1,87510.34353,13,0,1,86028.16764,13,0,1,130702.06,13,0
N,1,78761.76821,7,2,1,72616.59731,8,2,1,94974.77223,9,3
NO,1,235378.6909,13,0,1,195987.808,10,2,1,161676.6964,8,0
O,1,145711.7072,12,0,1,103436.4567,12,0,1,29154.16136,13,0
P,0,93252.80077,7,0,1,99055.99061,6,2,1,91278.7455,8,0
PDN,0,78729.57919,5,1,0,81084.53043,6,2,0,9140.143037,5,1
Q,0,51323.70694,3,7,0,89385.81538,7,2,0,51693.72207,5,4
R,1,113771.3378,10,0,1,74142.49891,7,0,1,94604.19137,9,0
S,1,129815.6665,12,0,1,154690.7751,10,1,1,169276.1062,12,0
SI,1,131319.4788,13,0,1,124996.258,13,0,1,127221.1087,13,0
T,1,86423.02434,7,1,1,89824.39566,8,1,1,102349.9406,8,0
TU,1,86986.42281,6,1,0,104351.1295,7,2,0,53396.50113,2,5
U,0,64894.31703,6,1,1,78666.96783,8,1,1,115762.9338,10,0
V,1,140662.6524,13,0,1,107510.9921,13,0,1,154444.7327,13,0
W,1,149866.4932,13,0,1,127997.6237,13,0,0,80446.29582,3,3
X,1,57566.85354,5,1,0,77956.44669,7,2,0,92550.89963,10,2
Y,1,79575.45644,6,0,1,19441.14434,8,0,1,278628.1442,7,2
YO,1,98214.5774,12,0,1,113574.6004,12,0,1,122445.3219,12,0
Z,1,81601.02465,6,3,1,80494.12076,7,1,0,79047.77644,3,3
Ñ,0,131183.7995,12,0,0,110750.2394,10,0,0,132466.1236,11,0
A,1,105372.9294,11,2,1,85807.98652,10,1,1,109124.3888,9,1
B,1,52012.37321,8,2,1,74862.69223,7,2,1,54855.79135,5,3
BN,1,133477.8885,12,2,1,87270.91608,6,3,1,125021.0299,9,3
C,0,62793.65893,6,3,1,60056.21401,8,3,1,86125.60335,9,3
CME,1,412432.4745,13,0,1,309787.6661,12,0,1,409472.1823,13,0
D,1,189636.5519,13,0,1,136291.8414,13,0,1,157563.8143,13,0
E,1,162868.3544,12,0,1,131930.7625,13,0,1,35518.95263,13,0
F,1,121607.9701,13,0,1,122974.9396,13,0,1,126567.7622,13,0
G,1,108635.0125,12,0,1,92790.02189,12,0,1,127742.6606,13,0
GRA,1,271263.1958,13,0,1,214282.2911,13,0,1,316012.3034,13,0
H,1,122555.0467,13,0,1,111329.7409,12,0,1,123571.1112,10,2
HLA,1,50999.21613,7,2,0,52245.99829,6,2,1,49037.70924,7,3
I,1,117403.64,10,1,1,87998.46305,8,1,1,103388.8653,10,1
J,1,69299.88149,7,1,1,52398.62051,6,1,0,135830.7418,9,0
K,1,107811.992,8,0,1,92392.70462,7,0,1,97799.70755,8,0
L,1,150896.5356,13,0,1,130215.7807,13,0,1,151471.9648,13,0
M,0,50337.03989,7,1,0,44692.49178,7,3,1,48676.55005,6,3
MAL,1,82754.80955,13,0,1,82019.34218,13,0,1,124352.1524,13,0
N,1,80886.6169,8,3,1,87286.95083,9,3,1,99592.58006,11,3
NO,1,240086.3997,13,0,1,185230.6929,11,2,1,150650.3216,9,0
O,1,133450.0369,12,0,1,94752.5901,13,0,1,18863.19364,13,0
P,0,92990.27648,8,0,1,84471.6816,7,2,1,104117.4477,7,0
PDN,0,79696.14913,5,1,0,89254.25547,7,2,0,17685.00022,6,1
Q,0,45291.1077,4,7,0,81874.91741,8,3,0,41458.63973,4,4
R,1,125211.9361,12,0,1,74585.35417,8,0,1,106497.593,10,0
S,1,135289.5003,13,0,1,148797.8321,11,1,1,168453.3002,13,0
SI,1,133810.774,13,0,1,134727.2144,13,0,1,126506.6123,13,0
T,1,76550.24329,7,1,1,81175.17093,9,1,1,106843.497,9,0
TU,1,71565.63731,6,2,0,90671.27878,8,3,0,62672.3136,3,7
U,0,74126.0354,7,1,1,75424.0611,8,1,1,105157.5738,11,0
V,1,138383.2808,13,0,1,108308.9193,13,0,1,156398.0463,13,0
W,1,156538.0419,13,0,1,134232.296,13,0,0,71970.94106,4,6
X,1,63226.34961,6,1,0,67820.5727,7,2,0,87653.35428,10,2
Y,1,78571.42717,7,0,1,23081.52606,7,0,1,274487.9851,8,2
YO,1,90311.23807,12,0,1,101231.9877,13,0,1,129785.5387,13,0
Z,1,89990.5469,8,3,1,90127.59104,6,1,0,75187.53997,4,6
Ñ,0,131625.4458,11,0,0,100887.7834,11,0,0,136613.7159,12,0
A,1,73260.323,8,2,1,69758.101,7,2,1,79410.343,8,2
B,1,86668.201,13,0,1,95162.925,13,0,1,87855.873,13,0
BN,1,42848.897,4,5,1,75838.741,11,1,1,81009.368,11,1
C,1,95691.419,12,0,1,99741.257,12,0,1,94709.755,12,0
CME,1,373233.038,12,0,1,353108.924,12,0,1,399643.668,12,0
D,1,134923.637,13,0,1,125264.623,11,0,1,139079.599,12,0
E,1,74507.909,6,2,1,49438.448,4,2,0,73645.085,6,3
F,1,11651.344,13,0,1,1094.304,13,0,1,115201.12,13,0
G,1,90270.411,9,1,1,91107.633,8,1,1,89753.99,9,0
GRA,1,202862.1,13,0,1,185015.883,13,0,1,200710.692,13,0
H,1,70125.365,7,2,1,76006.076,8,2,1,76444.163,8,2
HLA,1,81055.063,10,0,1,75834.514,10,0,0,71596.349,9,0
I,1,91270.968,9,2,1,89846.037,10,2,1,55637.938,7,1
J,1,74135.039,8,1,1,61227.376,8,1,1,61549.518,8,1
K,1,69698.226,7,0,0,61810.131,6,0,0,70196.242,7,0
L,1,85451.059,8,1,1,94347.925,9,1,1,98027.081,8,1
M,1,35837.967,3,6,1,57424.006,7,2,1,57949.915,7,2
MAL,1,74484.297,11,1,0,27878.246,3,5,1,79175.396,11,1
N,0,52271.295,5,2,0,37099.305,4,2,0,53841.4,6,2
NO,1,23787.147,2,6,0,42771.171,5,3,1,59011.528,6,1
O,1,20558.496,2,7,1,77058.13,12,2,1,91861.443,13,0
P,1,92931.93,9,0,1,82434.427,9,0,1,93256.054,9,0
PDN,1,107077.332,7,0,1,91879.876,7,0,1,107089.633,8,1
Q,0,54307.781,3,7,1,130929.7,11,1,1,137150.25,10,1
R,1,83125.867,9,0,1,74697.674,9,0,0,137150.25,10,1
S,1,27283.688,4,2,0,42807.233,5,2,1,16204.521,4,3
SI,1,68384.298,8,2,0,82819.492,8,2,1,67119.356,8,2
T,0,83667.102,5,4,1,6446.442,6,2,1,85446.378,7,2
TU,1,52692.572,4,4,1,61913.253,5,4,1,40801.466,3,6
U,1,119670.984,11,1,1,97169.859,11,0,1,122722.666,12,0
V,1,149880.593,13,0,1,134990.252,13,0,1,147219.027,13,0
W,1,121050.139,13,0,1,119875.74,13,0,1,125064.952,13,0
X,0,56143.762,5,3,1,40681.516,3,5,1,21725.346,6,3
Y,1,104518.627,8,0,1,87548.649,8,0,1,77305.532,7,0
YO,1,166322.628,12,0,1,137220.826,12,0,1,177318.254,13,0
Z,1,97588.035,7,3,1,69043.545,5,6,1,103009.492,7,4
Ñ,0,48425.592,5,3,0,56923.408,7,3,1,39484.234,7,3
